<org.opsli.plugins.redis.conf.RedisPluginConfig: void <clinit>()>-><org.opsli.plugins.redis.jsonserializer.FastJson2JsonRedisSerializer: void <init>(java.lang.Class)>
<org.opsli.modulars.system.tenant.web.TenantRestController: org.opsli.api.base.result.ResultWrapper exportExcelAuth(java.lang.String,javax.servlet.http.HttpServletRequest)>-><org.opsli.api.base.result.ResultWrapper: org.opsli.api.base.result.ResultWrapper getErrorResultWrapper()>
<org.opsli.modulars.system.menu.web.MenuRestController: java.util.List getBeanMapList(java.util.List,java.lang.String[])>-><com.google.common.collect.Iterators$1: boolean hasNext()>
<org.opsli.core.base.controller.BaseRestController: org.opsli.api.base.result.ResultWrapper importExcel(org.springframework.web.multipart.MultipartHttpServletRequest)>-><org.opsli.core.msg.CoreMsg: java.lang.String getMessage()>
<org.opsli.modulars.system.menu.web.MenuRestController: java.util.List getBeanMapList(java.util.List,java.lang.String[])>-><java.util.TreeMap$NavigableSubMap$SubMapIterator: boolean hasNext()>
<org.opsli.core.base.service.impl.CrudServiceImpl: boolean insertBatch(java.util.List)>-><java.util.Collections$UnmodifiableCollection$1: java.lang.Object next()>
<org.opsli.core.base.controller.BaseRestController$1: void saveData(java.util.List)>-><java.util.Collections$EmptyIterator: java.lang.Object next()>
<org.opsli.modulars.system.options.web.SysOptionsRestController: org.opsli.api.base.result.ResultWrapper findPage(java.lang.Integer,java.lang.Integer,javax.servlet.http.HttpServletRequest)>-><com.baomidou.mybatisplus.core.conditions.interfaces.Compare: java.lang.Object eq(java.lang.Object,java.lang.Object)>
<org.opsli.core.persistence.querybuilder.chain.QueryDataPermsHandler: com.baomidou.mybatisplus.core.conditions.query.QueryWrapper handleDataPermsCondition(org.opsli.core.persistence.querybuilder.conf.WebQueryConf,com.baomidou.mybatisplus.core.conditions.query.QueryWrapper)>-><java.util.WeakHashMap$ValueIterator: java.lang.Object next()>
<org.opsli.core.cache.SecurityCache: java.util.Map getAllHashCacheObject(org.springframework.data.redis.core.RedisTemplate,java.lang.String,java.util.function.Function)>-><org.springframework.context.expression.MapAccessor$MapAccessException: java.lang.String getMessage()>
<org.opsli.modulars.generator.logs.wrapper.GenBuilderModel: java.lang.String toString()>-><java.lang.StringBuilder: void <init>()>
<org.opsli.plugins.security.utils.WebUtils: void renderErrorByAlert(javax.servlet.http.HttpServletResponse,java.lang.String)>-><java.lang.Throwable: void printStackTrace()>
<org.opsli.core.persistence.querybuilder.chain.QueryDataPermsHandler: com.baomidou.mybatisplus.core.conditions.query.QueryWrapper handleDataPermsCondition(org.opsli.core.persistence.querybuilder.conf.WebQueryConf,com.baomidou.mybatisplus.core.conditions.query.QueryWrapper)>-><com.google.common.collect.AbstractMapBasedMultimap$WrappedCollection$WrappedIterator: java.lang.Object next()>
<org.opsli.core.utils.UserUtil: java.util.List getUserRolesByUserId(java.lang.String)>-><org.opsli.core.cache.CacheUtil: java.lang.String formatKey(java.lang.String)>
<org.opsli.modulars.generator.logs.service.impl.GenLogsServiceImpl: org.opsli.modulars.generator.logs.wrapper.GenLogsModel getByTableId(java.lang.String)>-><java.util.Vector: java.lang.Object get(int)>
<org.opsli.core.persistence.querybuilder.chain.QueryDataPermsHandler: com.baomidou.mybatisplus.core.conditions.query.QueryWrapper handleDataPermsCondition(org.opsli.core.persistence.querybuilder.conf.WebQueryConf,com.baomidou.mybatisplus.core.conditions.query.QueryWrapper)>-><com.google.common.collect.ImmutableList$SubList: int size()>
<org.opsli.modulars.generator.logs.wrapper.GenBuilderModel: boolean equals(java.lang.Object)>-><org.opsli.modulars.generator.logs.wrapper.GenBuilderModel: java.lang.String getPackageName()>
<org.opsli.core.security.service.UsernameUserDetailDetailServiceImpl: void <init>(org.opsli.plugins.security.properties.AuthProperties)>-><synthetic.method.SingletonFactory: org.opsli.plugins.security.properties.AuthProperties getAuthProperties()>
<java.util.concurrent.ConcurrentHashMap: int hashCode()>-><org.opsli.plugins.redisson.properties.RedissonProperties: int hashCode()>
<org.apache.commons.beanutils.converters.NumberConverter: java.lang.Object convertToType(java.lang.Class,java.lang.Object)>-><org.opsli.modulars.generator.logs.wrapper.GenBuilderModel: java.lang.String toString()>
<org.opsli.plugins.excel.ExcelPlugin: void writeExcel(javax.servlet.http.HttpServletResponse,java.util.List,java.lang.String,java.lang.String,java.lang.Class,com.alibaba.excel.support.ExcelTypeEnum)>-><java.util.MissingFormatArgumentException: java.lang.String getMessage()>
<cn.hutool.core.convert.AbstractConverter: java.lang.String convertToStr(java.lang.Object)>-><org.opsli.plugins.security.exception.AuthException: java.lang.String toString()>
<org.opsli.core.persistence.querybuilder.GenQueryBuilder: com.baomidou.mybatisplus.core.conditions.query.QueryWrapper build()>-><com.baomidou.mybatisplus.core.conditions.query.QueryWrapper: void <init>()>
<org.opsli.plugins.pagehelper.PageHelperAutoConfiguration: void afterPropertiesSet()>-><org.opsli.plugins.pagehelper.PageHelperAutoConfiguration: boolean containsInterceptor(org.apache.ibatis.session.Configuration,org.apache.ibatis.plugin.Interceptor)>
<com.alibaba.fastjson.serializer.StringCodec: java.lang.Object deserialze(com.alibaba.fastjson.parser.DefaultJSONParser)>-><org.opsli.common.utils.RateLimiterUtil$RateLimiterInner: java.lang.String toString()>
<org.opsli.modulars.system.user.web.UserRestController: org.opsli.api.base.result.ResultWrapper insert(org.opsli.api.wrapper.system.user.UserModel)>-><org.opsli.modulars.system.user.service.impl.UserServiceImpl: org.opsli.api.base.warpper.ApiWrapper insert(org.opsli.api.base.warpper.ApiWrapper)>
<org.opsli.plugins.security.handler.LoginHandler$Builder: org.opsli.plugins.security.handler.LoginHandler build()>-><org.opsli.plugins.security.handler.LoginHandler$Builder$AccessSuccessListenerBuilder: java.util.List access$600(org.opsli.plugins.security.handler.LoginHandler$Builder$AccessSuccessListenerBuilder)>
<org.opsli.core.security.service.UidUserDetailDetailServiceImpl: java.util.Optional loadUserByPrincipal(java.lang.Object)>-><org.springframework.util.LinkedCaseInsensitiveMap$ValuesIterator: java.lang.Object next()>
<synthetic.method.SingletonFactory: void <clinit>()>-><org.opsli.plugins.redis.RedisPlugin: void <init>()>
<org.opsli.plugins.generator.SqlSyncUtil: void execute(org.opsli.modulars.generator.table.wrapper.GenTableAndColumnModel)>-><org.opsli.plugins.generator.enums.DataBaseType: org.opsli.plugins.generator.enums.DataBaseType getDbType(java.lang.String)>
<org.opsli.core.base.controller.BaseRestController$ExcelExportCache: java.lang.String toString()>-><java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>
<org.opsli.plugins.redisson.RedissonManager$RedissonConfigFactory: org.redisson.config.Config createConfig(org.opsli.plugins.redisson.properties.RedissonProperties)>-><org.opsli.plugins.redisson.properties.RedissonProperties: org.opsli.plugins.redisson.enums.RedissonType getType()>
<org.opsli.plugins.redis.jsonserializer.FastJson2JsonRedisSerializer: java.lang.Object deserialize(byte[])>-><java.lang.String: void <init>(byte[],java.nio.charset.Charset)>
<org.opsli.modulars.generator.logs.web.GenLogsRestController: void create(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)>-><reactor.core.publisher.FluxOnAssembly$OnAssemblyException: java.lang.String getMessage()>
<org.opsli.modulars.system.user.web.UserRestController: org.opsli.api.base.result.ResultWrapper findPageByTenant(java.lang.Integer,java.lang.Integer,javax.servlet.http.HttpServletRequest)>-><io.netty.util.collection.IntObjectHashMap$KeySet$1: java.lang.Object next()>
<org.opsli.core.utils.ExcelUtil: java.util.List handleDatas(java.util.List,java.lang.Class,org.opsli.common.enums.ExcelOperate)>-><java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>
<com.alibaba.fastjson.serializer.SerialContext: void toString(java.lang.StringBuilder)>-><org.opsli.api.wrapper.system.dict.DictWrapper: java.lang.String toString()>
<org.apache.commons.collections.FastHashMap: boolean equals(java.lang.Object)>-><org.opsli.plugins.security.exception.AuthServiceException: boolean equals(java.lang.Object)>
<org.opsli.common.utils.RateLimiterUtil: boolean enter(java.lang.String,java.lang.String,java.lang.Double)>-><org.slf4j.helpers.SubstituteLogger: void error(java.lang.String)>
<org.opsli.core.utils.OptionsUtil: void <init>()>-><org.opsli.modulars.system.options.web.SysOptionsRestController: void <init>()>
<org.opsli.core.utils.ValidatorUtil: void check(java.lang.reflect.Field,org.opsli.common.enums.ValidatorType[],java.lang.Object)>-><org.yaml.snakeyaml.error.MarkedYAMLException: java.lang.String getMessage()>
<org.opsli.api.wrapper.system.menu.MenuFullModel: void <init>()>-><java.lang.Object: void <init>()>
<org.opsli.core.base.controller.BaseRestController: org.opsli.api.base.result.ResultWrapper importExcel(org.springframework.web.multipart.MultipartHttpServletRequest)>-><java.util.ArrayList$SubList: java.lang.Object get(int)>
<org.opsli.plugins.oss.OssStorageFactory: void handleInit(java.util.Set)>-><java.lang.Class: int getModifiers()>
<org.opsli.plugins.redis.jsonserializer.FastJson2JsonRedisSerializer: java.lang.Object deserialize(byte[])>-><org.springframework.web.context.support.WebApplicationContextUtils$FacesDependencyRegistrar$1: java.lang.String toString()>
<java.lang.invoke.InvokerBytecodeGenerator: java.lang.String debugString(java.lang.Object)>-><org.opsli.plugins.security.exception.AuthServiceException: java.lang.String toString()>
<org.opsli.common.utils.WrapperUtil: java.util.List transformInstance(java.util.Collection,java.lang.Class,boolean)>-><java.util.DuplicateFormatFlagsException: java.lang.String getMessage()>
<org.opsli.core.base.controller.BaseRestController: void handleTreeHasChildren(java.util.List,java.util.Map)>-><javax.security.auth.Subject$SecureSet$1: java.lang.Object next()>
<org.opsli.modulars.system.user.service.impl.UserServiceImpl: boolean updateUserMobile(org.opsli.api.wrapper.system.user.UpdateUserMobileModel)>-><com.baomidou.mybatisplus.extension.service.IService: boolean update(com.baomidou.mybatisplus.core.conditions.Wrapper)>
<org.opsli.modulars.system.logs.factory.UserLoginLogFactory: void <init>()>-><java.lang.Object: void <init>()>
<org.opsli.core.cache.SecurityCache: boolean isNonExist(java.lang.String)>-><com.google.common.cache.LocalCache$LocalManualCache: java.lang.Object get(java.lang.Object,java.util.concurrent.Callable)>
<org.opsli.modulars.system.user.web.UserRestController: org.opsli.api.base.result.ResultWrapper updateMobile(org.opsli.api.base.encrypt.EncryptModel)>-><org.opsli.common.utils.WrapperUtil: java.lang.Object transformInstance(java.lang.Object,java.lang.Class)>
<cn.hutool.core.util.ArrayUtil: java.lang.String toString(java.lang.Object)>-><org.opsli.api.wrapper.system.menu.MenuModel: java.lang.String toString()>
<cn.hutool.core.util.StrUtil: java.lang.String str(java.lang.Object,java.nio.charset.Charset)>-><org.opsli.common.utils.RateLimiterUtil$RateLimiterInner: java.lang.String toString()>
<org.opsli.plugins.redis.RedisPlugin: boolean sHashKey(java.lang.String,java.lang.Object)>-><com.fasterxml.jackson.core.JsonProcessingException: java.lang.String getMessage()>
<org.opsli.plugins.security.utils.PasswordUtil: java.lang.String encode(org.springframework.security.crypto.password.PasswordEncoder,java.lang.String)>-><java.lang.StringBuilder: void <init>()>
<sun.security.x509.CRLExtensions: void parseExtension(sun.security.x509.Extension)>-><org.opsli.plugins.security.exception.AuthServiceException: java.lang.String toString()>
<org.opsli.modulars.system.login.handler.success.LoginModelCreateAccessTokenHandler: void handle(java.lang.Object,org.springframework.security.core.Authentication,javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)>-><cn.hutool.json.JSONUtil: java.lang.String toJsonStr(java.lang.Object)>
<org.opsli.modulars.system.login.handler.success.LoginCodeModelCreateAccessTokenHandler: void handle(java.lang.Object,org.springframework.security.core.Authentication,javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)>-><org.opsli.core.base.dto.LoginUserDto$LoginUserDtoBuilder: org.opsli.core.base.dto.LoginUserDto$LoginUserDtoBuilder mobile(java.lang.String)>
<org.opsli.core.utils.ExcelUtil: java.util.List handleDatas(java.util.List,java.lang.Class,org.opsli.common.enums.ExcelOperate)>-><java.util.WeakHashMap$EntryIterator: java.lang.Object next()>
<org.opsli.modulars.generator.logs.web.GenLogsRestController: void create(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)>-><org.apache.commons.beanutils.BeanUtils: void populate(java.lang.Object,java.util.Map)>
<org.opsli.plugins.excel.ExcelPlugin: void writeExcel(javax.servlet.http.HttpServletResponse,java.util.List,java.lang.String,java.lang.String,java.lang.Class,com.alibaba.excel.support.ExcelTypeEnum)>-><cn.hutool.core.date.DateUtil: cn.hutool.core.date.DateTime date()>
<org.opsli.core.autoconfigure.conf.SwaggerConfig: springfox.documentation.spring.web.plugins.Docket createRestApi()>-><org.opsli.core.autoconfigure.conf.SwaggerConfig: springfox.documentation.service.ApiInfo apiInfo()>
<org.opsli.core.cache.SecurityCache: java.lang.Object getCacheObject(org.springframework.data.redis.core.RedisTemplate,java.lang.String)>-><java.util.IllegalFormatWidthException: java.lang.String getMessage()>
<org.opsli.plugins.waf.util.XSSFilterKit: void <clinit>()>-><java.util.regex.Pattern: java.util.regex.Pattern compile(java.lang.String,int)>
<org.opsli.plugins.redis.jsonserializer.FastJson2JsonRedisSerializer: java.lang.Object deserialize(byte[])>-><org.apache.poi.hssf.record.DBCellRecord: java.lang.String toString()>
<org.opsli.api.wrapper.system.menu.MenuModel: int hashCode()>-><org.opsli.api.wrapper.system.menu.MenuModel: java.lang.String getMenuName()>
<org.opsli.core.utils.OptionsUtil: org.opsli.api.wrapper.system.options.OptionsModel getOptionByCode(java.lang.String)>-><org.opsli.core.utils.ThrowExceptionUtil: void isThrowException(boolean,org.opsli.common.base.msg.BaseMsg)>
<com.google.common.collect.ImmutableSet$RegularSetBuilderImpl: com.google.common.collect.ImmutableSet$SetBuilderImpl insertInHashTable(java.lang.Object)>-><org.opsli.core.autoconfigure.properties.DbSourceProperties$DataSourceInfo: boolean equals(java.lang.Object)>
<com.alibaba.fastjson.parser.DefaultJSONParser: java.lang.Object parseObject(java.util.Map,java.lang.Object)>-><org.opsli.api.wrapper.system.menu.MenuModel: java.lang.String toString()>
<org.opsli.core.base.controller.BaseRestController$1: void saveData(java.util.List)>-><com.google.common.collect.Iterators$9: java.lang.Object next()>
<org.springframework.boot.convert.LenientObjectToEnumConverterFactory$LenientToEnumConverter: java.lang.Enum convert(java.lang.Object)>-><org.opsli.modulars.generator.logs.wrapper.GenBuilderModel: java.lang.String toString()>
<java.util.HashMap: java.lang.Object computeIfAbsent(java.lang.Object,java.util.function.Function)>-><org.opsli.modulars.generator.logs.wrapper.GenBuilderModel: boolean equals(java.lang.Object)>
<org.opsli.plugins.security.utils.IpaddrUtil: java.lang.String getClientId(javax.servlet.http.HttpServletRequest)>-><cn.hutool.core.net.NetUtil: java.lang.String getMultistageReverseProxyIp(java.lang.String)>
<org.opsli.plugins.redis.jsonserializer.FastJson2JsonRedisSerializer: java.lang.Object deserialize(byte[])>-><java.util.ResourceBundle$1: java.lang.String toString()>
<com.alibaba.fastjson.JSONPath$RlikeSegement: boolean apply(com.alibaba.fastjson.JSONPath,java.lang.Object,java.lang.Object,java.lang.Object)>-><org.opsli.modulars.system.user.entity.SysUserRoleRef: java.lang.String toString()>
<org.opsli.plugins.generator.utils.GeneratorHandleUtil: org.opsli.modulars.generator.logs.wrapper.GenBuilderModel handleData(org.opsli.modulars.generator.logs.wrapper.GenBuilderModel,java.util.List)>-><com.google.common.collect.AbstractMapBasedMultimap$WrappedCollection: int size()>
<reactor.util.context.Context3: java.lang.Object get(java.lang.Object)>-><org.opsli.common.utils.RateLimiterUtil$RateLimiterInner: boolean equals(java.lang.Object)>
<org.opsli.modulars.system.user.service.impl.UserServiceImpl: boolean updateUserEmail(org.opsli.api.wrapper.system.user.UpdateUserEmailModel)>-><cn.hutool.core.text.CharSequenceUtil: boolean isNotEmpty(java.lang.CharSequence)>
<org.opsli.core.utils.ValidatorUtil: void check(java.lang.reflect.Field,org.opsli.common.enums.ValidatorType[],java.lang.Object)>-><cn.hutool.core.convert.Convert: java.lang.String toStr(java.lang.Object)>
<com.jfinal.template.expr.ast.Compare: java.lang.Boolean equal(java.lang.Object,java.lang.Object)>-><org.opsli.api.wrapper.system.dict.DictWrapper: boolean equals(java.lang.Object)>
<org.opsli.modulars.system.user.web.UserRestController: org.opsli.api.base.result.ResultWrapper findPage(java.lang.Integer,java.lang.Integer,java.lang.String,javax.servlet.http.HttpServletRequest)>-><io.netty.util.internal.shaded.org.jctools.queues.BaseMpscLinkedArrayQueue$WeakIterator: java.lang.Object next()>
<org.opsli.core.cache.SecurityCache: java.util.Map getAllHashCacheObject(org.springframework.data.redis.core.RedisTemplate,java.lang.String,java.util.function.Function)>-><org.springframework.core.NestedCheckedException: java.lang.String getMessage()>
<synthetic.method.RoleMapperImpl: void <init>()>-><java.lang.Object: void <init>()>
<org.opsli.core.utils.OptionsUtil: java.util.Map convertOptionsMap(java.util.List)>-><java.util.Collections$UnmodifiableCollection: java.util.Iterator iterator()>
<org.springframework.boot.convert.NumberToDataSizeConverter: java.lang.Object convert(java.lang.Object,org.springframework.core.convert.TypeDescriptor,org.springframework.core.convert.TypeDescriptor)>-><org.opsli.plugins.security.exception.AuthException: java.lang.String toString()>
<org.opsli.core.base.controller.BaseRestController$1: void saveData(java.util.List)>-><java.util.EnumMap$EnumMapIterator: boolean hasNext()>
<org.opsli.core.base.controller.BaseRestController: java.util.List handleTreeHasChildren(java.util.List,java.util.function.Function)>-><java.util.ArrayList$Itr: java.lang.Object next()>
<org.opsli.common.exception.ServiceException: void <init>(org.opsli.common.base.msg.BaseMsg)>-><org.opsli.plugins.sms.msg.SmsMsgCodeEnum: java.lang.String getMessage()>
<org.opsli.core.cache.SecurityCache: java.lang.Object getCacheObject(org.springframework.data.redis.core.RedisTemplate,java.lang.String)>-><java.util.DuplicateFormatFlagsException: java.lang.String getMessage()>
<org.opsli.core.base.controller.BaseRestController: java.util.List handleTreeHasChildren(java.util.List,java.util.function.Function)>-><java.util.Collections$SynchronizedCollection: java.util.Iterator iterator()>
